time,C1M1Ctime,C2M1Ctime
1565883906.533,0.534163,0.535284
1565883932.933,0.53416,0.535149
1565883960.533,0.534103,0.535317
1565883986.933,0.534481,0.535301
1565884013.333,0.534421,0.53527
1565884040.933,0.534415,0.535228
1565884067.333,0.534363,0.535204
1565884093.733,0.534361,0.535246
1565884121.333,0.534592,0.535313
1565884147.733,0.534397,0.535218
1565884174.1330001,0.534454,0.535145
1565884201.733,0.534098,0.535307
1565884228.1330001,0.534161,0.535246
1565884254.533,0.53447,0.535273
1565884308.533,0.534348,0.535389
1565884334.933,0.534342,0.535308
1565884361.333,0.534533,0.535303
1565884388.933,0.53454,0.535356
1565884415.333,0.534401,0.535242
1565884441.733,0.534458,0.535255
1565884469.333,0.534469,0.535252
1565884495.733,0.534164,0.535154
1565884522.1330001,0.534454,0.535155
1565884549.733,0.534275,0.535212
1565884576.1330001,0.534461,0.535208
1565884602.533,0.534335,0.53516
1565884630.1330001,0.533903,0.535226
1565884656.533,0.534395,0.535191
1565884682.933,0.534156,0.535246
1565884709.333,0.534401,0.535222
1565884736.933,0.534336,0.535186
1565884763.333,0.534477,0.535259
1565884789.733,0.53452,0.53523
1565884817.333,0.534445,0.535363
1565884843.733,0.534077,0.535223
1565884870.1330001,0.534277,0.535277
1565884897.733,0.534383,0.53518
1565884924.1330001,0.534441,0.535244
1565884950.533,0.53389,0.535277
1565884978.1330001,0.534384,0.53524
1565885004.533,0.534494,0.535279
1565885030.933,0.534078,0.535237
1565885057.333,0.534316,0.535204
1565885084.933,0.534324,0.535184
1565885111.333,0.534553,0.535269
1565885137.733,0.534452,0.535207
1565885165.333,0.534495,0.535307
1565885191.733,0.534427,0.535287
1565885218.1330001,0.534245,0.535054
1565885245.733,0.53448,0.535239
1565885272.1330001,0.534362,0.535184
1565885298.533,0.53429,0.535103
1565885326.1330001,0.534378,0.535261
1565885352.533,0.534658,0.535322
1565885378.933,0.534355,0.535244
1565885406.533,0.53448,0.535266
1565885432.933,0.534528,0.535199
1565885459.333,0.534402,0.535196
1565885485.733,0.534226,0.53542
1565885513.333,0.534468,0.535285
1565885539.733,0.534389,0.535188
1565885566.1330001,0.534527,0.535243
1565885593.733,0.534401,0.535242
1565885620.1330001,0.534332,0.53531
1565885646.533,0.534322,0.535229
1565885674.1330001,0.534507,0.535261
1565885700.533,0.534504,0.535232
1565885726.933,0.53438,0.535298
1565885754.533,0.534248,0.535199
1565885780.933,0.534562,0.535292
1565885807.333,0.534234,0.535198
1565885833.733,0.534227,0.535171
1565885861.333,0.534655,0.535392
1565885887.733,0.534406,0.535178
1565885914.1330001,0.534148,0.535305
1565885941.733,0.534406,0.535279
1565885968.1330001,0.534463,0.535228
1565885994.533,0.534626,0.535306
1565886022.1330001,0.534566,0.535288
1565886048.533,0.534279,0.535235
1565886074.933,0.534321,0.535243
1565886102.533,0.534398,0.535201
1565886128.933,0.53446,0.535244
1565886155.333,0.533891,0.535174
1565886182.933,0.534381,0.535137
1565886209.333,0.534382,0.535245
1565886235.733,0.534442,0.535193
1565886262.1330001,0.534426,0.53522
1565886289.733,0.534376,0.535209
1565886316.1330001,0.534433,0.535266
1565886342.533,0.534423,0.535287
1565886370.1330001,0.534048,0.53526
1565886396.533,0.534532,0.535312
1565886422.933,0.53417,0.535214
1565886450.533,0.534474,0.535123
1565886476.933,0.534529,0.535219
1565886503.333,0.534528,0.535305
1565886530.933,0.534329,0.535187
1565886557.333,0.534459,0.535338
1565886583.733,0.534456,0.535252
1565886610.1330001,0.534574,0.5353
1565886637.733,0.534406,0.535248
1565886664.1330001,0.534451,0.535306
1565886690.533,0.53433,0.535289
1565886718.1330001,0.534437,0.535334
1565886744.533,0.53444,0.535267
1565886770.933,0.534248,0.535244
1565886798.533,0.534483,0.535308
1565886824.933,0.534425,0.535304
1565886851.333,0.533982,0.535304
1565886878.933,0.534419,0.535366
1565886905.333,0.534477,0.535277
1565886931.733,0.534441,0.535164
1565886958.1330001,0.534449,0.535272
1565886985.733,0.533747,0.535272
1565887012.1330001,0.534119,0.535365
1565887038.533,0.534359,0.535181
1565887066.1330001,0.534346,0.535174
1565887092.533,0.534349,0.535228
1565887118.933,0.534385,0.535232
1565887146.533,0.53445,0.53529
1565887172.933,0.534383,0.535271
1565887199.333,0.534364,0.535226
1565887226.933,0.534302,0.535247
1565887253.333,0.534718,0.535302
1565887279.733,0.534421,0.53523
1565887307.333,0.53435,0.535179
1565887333.733,0.534291,0.535382
1565887360.1330001,0.534577,0.535375
1565887386.533,0.534432,0.535244
1565887414.1330001,0.534377,0.535198
1565887440.533,0.534496,0.535254
1565887466.933,0.534489,0.535322
1565887494.533,0.534414,0.535301
1565887520.933,0.534229,0.535174
1565887547.333,0.53442,0.535216
1565887574.933,0.534348,0.535219
1565887601.333,0.534213,0.53539
1565887627.733,0.534385,0.535221
1565887655.333,0.534399,0.535216
1565887681.733,0.534191,0.535322
1565887708.1330001,0.534367,0.535223
1565887734.533,0.534413,0.53533
1565887762.1330001,0.534295,0.535307
1565887788.533,0.534417,0.535323
1565887814.933,0.534347,0.535322
1565887842.533,0.534512,0.535206
1565887868.933,0.534396,0.535164
1565887895.333,0.534257,0.535242
1565887922.933,0.534438,0.535312
1565887949.333,0.534556,0.535378
1565887975.733,0.534362,0.53526
1565888003.333,0.534474,0.535298
1565888029.733,0.534555,0.535324
1565888056.1330001,0.534405,0.535276
1565888083.733,0.534454,0.535256
1565888110.1330001,0.534024,0.535245
1565888136.533,0.534528,0.535357
