time,BatC1,BatC2
1565885754.533,455.94,458.17
1565885758.1330001,13.77,2.19
1565885764.1330001,889.86,875.3
1565885780.933,456.01,458.25
1565885785.733,13.77,2.19
1565885791.733,889.77,875.14
1565885807.333,455.89,458.18
1565885812.1330001,13.73,1.92
1565885818.1330001,889.74,874.89
1565885833.733,455.99,458.19
1565885838.533,13.89,2.39
1565885844.533,889.88,875.78
1565885861.333,455.95,458.17
1565885866.1330001,13.74,2.11
1565885872.1330001,889.49,875.49
1565885887.733,455.9,458.2
1565885892.533,13.68,2.3
1565885898.533,889.57,875.68
1565885914.1330001,455.92,458.24
1565885918.933,13.59,2.19
1565885924.933,889.48,875.63
1565885941.733,456.08,458.2
1565885946.533,13.68,2.19
1565885952.533,889.53,875.58
1565885968.1330001,455.93,458.27
1565885972.933,13.68,2.21
1565885978.933,889.54,875.72
1565885994.533,455.93,458.23
1565885999.333,13.7,2.43
1565886005.333,889.58,875.93
1565886022.1330001,455.88,458.19
1565886025.733,13.66,2.26
1565886031.733,889.51,875.68
1565886048.533,455.86,458.18
1565886053.333,13.58,2.2
1565886059.333,889.48,875.76
1565886074.933,455.93,458.17
1565886079.733,13.61,2.18
1565886085.733,889.58,875.68
1565886102.533,455.96,458.2
1565886106.1330001,13.59,2.11
1565886112.1330001,889.37,875.6
1565886128.933,455.86,458.12
1565886133.733,13.65,2.07
1565886139.733,889.26,875.48
1565886155.333,455.87,458.18
1565886160.1330001,13.65,2.5
1565886166.1330001,889.41,876.3
1565886182.933,456.13,458.21
1565886186.533,13.59,2.23
1565886192.533,889.45,876.1
1565886209.333,455.88,458.21
1565886214.1330001,13.71,2.45
1565886220.1330001,889.51,876.15
1565886235.733,455.95,458.23
1565886240.533,13.67,2.34
1565886246.533,889.55,876.32
1565886262.1330001,455.93,458.18
1565886266.933,13.72,2.38
1565886272.933,889.72,876.16
1565886289.733,455.91,458.18
1565886294.533,13.6,2.38
1565886300.533,889.51,876.24
1565886316.1330001,455.89,458.19
1565886320.933,13.73,2.35
1565886326.933,889.62,876.05
1565886342.533,456.0,458.24
1565886347.333,13.64,2.5
1565886353.333,889.49,876.25
1565886370.1330001,455.93,458.21
1565886373.733,13.68,2.43
1565886379.733,889.56,876.21
1565886396.533,456.08,458.19
1565886401.333,13.67,2.52
1565886407.333,889.57,876.31
1565886422.933,455.92,458.18
1565886427.733,13.71,2.28
1565886433.733,889.53,876.04
1565886450.533,456.0,458.2
1565886454.1330001,13.59,2.44
1565886460.1330001,889.5,876.28
1565886476.933,455.84,458.2
1565886481.733,13.66,2.6
1565886487.733,889.58,876.57
1565886503.333,455.92,458.19
1565886508.1330001,13.65,2.34
1565886514.1330001,889.58,876.27
1565886530.933,455.91,458.21
1565886534.533,13.74,2.52
1565886540.533,889.61,876.56
1565886557.333,455.94,458.25
1565886562.1330001,13.79,2.43
1565886568.1330001,889.81,876.35
1565886583.733,455.93,458.19
1565886588.533,13.67,2.51
1565886594.533,889.76,876.61
1565886610.1330001,455.91,458.22
1565886614.933,13.65,2.4
1565886620.933,889.7,876.38
1565886637.733,455.84,458.15
1565886642.533,13.73,2.43
1565886648.533,889.77,876.43
1565886664.1330001,455.91,458.21
1565886668.933,13.72,2.4
1565886674.933,889.8,876.53
1565886690.533,455.89,458.19
1565886695.333,13.7,2.36
1565886701.333,889.72,876.27
1565886718.1330001,455.98,458.2
1565886722.933,13.77,2.43
1565886728.933,889.65,876.23
1565886744.533,455.95,458.19
1565886749.333,13.67,2.39
1565886755.333,889.51,876.27
1565886770.933,455.94,458.21
1565886775.733,13.67,2.35
1565886781.733,889.52,876.32
1565886798.533,455.97,458.2
1565886802.1330001,13.64,2.7
1565886808.1330001,889.5,876.54
1565886824.933,455.93,458.24
1565886829.733,13.66,2.25
1565886835.733,889.59,876.08
1565886851.333,455.96,458.19
1565886856.1330001,13.64,2.28
1565886862.1330001,889.43,875.98
1565886878.933,456.1,458.2
1565886882.533,13.66,2.22
1565886888.533,889.34,875.91
1565886905.333,455.91,458.17
1565886910.1330001,13.6,2.26
1565886916.1330001,889.35,876.02
1565886931.733,455.92,458.19
1565886936.533,13.6,2.41
1565886942.533,889.32,876.17
1565886958.1330001,455.85,458.21
1565886962.933,13.63,2.64
1565886968.933,889.41,876.43
1565886985.733,455.89,458.19
1565886990.533,13.5,2.2
1565886996.533,889.19,875.86
1565887012.1330001,456.17,458.18
1565887016.933,13.58,2.4
1565887022.933,889.31,876.08
1565887038.533,456.03,458.18
1565887043.333,13.57,2.29
1565887049.333,889.3,875.97
1565887066.1330001,455.92,458.23
1565887070.933,13.58,2.3
1565887076.933,889.37,875.97
1565887092.533,455.96,458.26
1565887097.333,13.57,2.38
1565887103.333,889.3,876.08
1565887118.933,455.97,458.2
1565887123.733,13.61,2.57
1565887129.733,889.28,876.31
1565887146.533,455.9,458.24
1565887150.1330001,13.62,2.41
1565887156.1330001,889.42,876.24
1565887172.933,455.97,458.21
1565887177.733,13.68,2.5
1565887183.733,889.5,876.43
1565887199.333,455.96,458.22
1565887204.1330001,13.7,2.34
1565887210.1330001,889.55,876.16
